市區別,警人,警車,消人,消車,民人,民車
鹽埕區,170,85,0,0,12,6
鼓山區,60,16,6,3,0,0
左營區,350,180,2,1,12,6
楠梓區,60,10,8,4,10,0
三民區,228,126,8,4,0,0
新興區,172,86,8,4,6,0
前金區,132,66,2,2,2,0
苓雅區,337,5,8,4,14,0
前鎮區,250,120,10,5,6,2
旗津區,16,6,4,2,0,0
小港區,176,0,4,2,6,0
鳳山區,16,8,6,3,0,0
林園區,18,9,2,1,0,0
大寮區,28,14,2,1,0,0
岡山區,24,15,4,2,0,0
橋頭區,15,10,4,2,0,0
燕巢區,18,12,4,2,2,0
田寮區,4,2,4,2,0,0
阿蓮區,19,9,1,1,1,0
路竹區,40,21,2,1,1,0
湖內區,29,14,6,3,0,0
茄萣區,25,12,1,1,0,0
永安區,8,5,4,2,0,0
彌陀區,12,8,4,2,0,0
梓官區,14,10,4,2,0,0
旗山區,19,8,0,0,0,0
美濃區,14,6,0,0,0,0
六龜區,35,18,2,1,0,0
甲仙區,9,5,2,1,0,0
內門區,11,5,4,2,0,0
茂林區,24,10,2,1,0,0
桃源區,25,10,0,0,0,0
那瑪夏區,20,15,0,0,0,0